DATA,CDI_NI,PTAX,IBOV,IRF-M,IMA-S,IMA-C,IMA-B,IMA-B 5,IMA-B 5+,IRF-M 1,IRF-M 1+
1997-01-02,,1.0395,69555.0,,,,,,,,
1997-01-03,1.00077342,1.0398,69977.0,,,,,,,,
1997-01-06,1.0015441656494128,1.0405,71595.0,,,,,,,,
1997-01-07,1.0023155048885877,1.0405,72974.0,,,,,,,,
1997-01-08,1.0030874381746775,1.041,74270.0,,,,,,,,
1997-01-09,1.0038599659651877,1.0415,74542.0,,,,,,,,
1997-01-10,1.0046330887179757,1.0414,74783.0,,,,,,,,
1997-01-13,1.005413377191652,1.042,74117.0,,,,,,,,
1997-01-14,1.006194271707583,1.0422,76211.0,,,,,,,,
1997-01-15,1.0069757727364754,1.0426,76675.0,,,,,,,,
1997-01-16,1.007757880749402,1.0436,76558.0,,,,,,,,
1997-01-17,1.0085405962178013,1.0439,78162.0,,,,,,,,
1997-01-20,1.0093272074558215,1.0432,78354.0,,,,,,,,
1997-01-21,1.0101144322112767,1.0435,79049.0,,,,,,,,
1997-01-22,1.010898977989631,1.0436,78175.0,,,,,,,,
1997-01-23,1.0116841331168456,1.0438,78906.0,,,,,,,,
1997-01-24,1.0124731961564701,1.0441,77597.0,,,,,,,,
1997-01-27,1.0132661752884318,1.0441,77590.0,,,,,,,,
1997-01-28,1.0140564722418481,1.0449,78497.0,,,,,,,,
1997-01-29,1.0148609333818424,1.0456,77369.0,,,,,,,,
1997-01-30,1.0156524741668336,1.0457,77888.0,,,,,,,,
1997-01-31,1.0164750104795623,1.0461,79646.0,,,,,,,,
1997-02-03,1.0174066911446678,1.0457,80959.0,,,,,,,,
1997-02-04,1.018339225769637,1.0463,81022.0,,,,,,,,
1997-02-05,1.0192793565428675,1.047,81711.0,,,,,,,,
1997-02-06,1.0202171445148547,1.0472,81478.0,,,,,,,,
1997-02-07,1.0211590089826708,1.048,83165.0,,,,,,,,
1997-02-12,1.0221017429797634,1.0476,86706.0,,,,,,,,
1997-02-13,1.0230453473088823,1.0487,87649.0,,,,,,,,
1997-02-14,1.0239969022473212,1.0495,86999.0,,,,,,,,
1997-02-17,1.0249493422460396,1.0491,88160.0,,,,,,,,
1997-02-18,1.025895575478801,1.0495,89502.0,,,,,,,,
1997-02-19,1.026842682274083,1.0504,87713.0,,,,,,,,
1997-02-20,1.0277874288839093,1.0505,87018.0,,,,,,,,
1997-02-21,1.0287294782854757,1.0508,87195.0,,,,,,,,
